Data Awarii;TCZP;ITNumber;TicketNumber;Rodzaj Naprawy;Non Bom Number;Info
2024-09-03 00:00:00.000;TCZP1163;IT0003690;INC20234889;Kalibracja;n/d;Poprawiono po∏o˝enie czujnika naklejek.
2024-09-04 00:00:00.000;TCZP3252;IT0038546;INC20309922;Kalibracja;-;
2024-09-04 00:00:00.000;TCZP1067;IT0028249;INC20311100;Kalibracja;-;
2024-09-05 00:00:00.000;TCZP3164;IT0017496;TASK5736624;Kalibracja;n/d;Problem zosta∏ rozwiàzany przez przywrócenie ustawieƒ domyÊlnych drukarki
2024-09-06 00:00:00.000;TCZP3156;IT0020114;INC20334847;Kalibracja;n/d;Sama kalibracja i sprawdzenie czy media sà dobrze za∏o˝one.
2024-09-06 00:00:00.000;TCZP1088;IT0018390;INC20338041;Kalibracja;n/d;Przeczyszczenie czujników i media and ribbon calibration
2024-09-06 00:00:00.000;TCZP1059;IT0002426;INC20295198;Problem sieciowy;-;Reset default ustawieƒ, restart 
2024-09-09 00:00:00.000;TCZP1185;IT0027931;INC20373961;Kalibracja;-;
2024-09-09 00:00:00.000;TCZP1214;IT0020344;INC20342495;Kalibracja;-;
2024-09-09 00:00:00.000;TCZP2057;IT0021132;INC20372282;Kalibracja;-;
2024-09-10 00:00:00.000;TCZP3213;IT0023000;INC20379408;Problem sieciowy;N/D;Kalibracja pod∏àczenie sieci
2024-09-10 00:00:00.000;TCZP3198;IT0002288;INC20380056;Kalibracja;N/D;Kalibracja etykiety
2024-09-11 00:00:00.000;TCZP2015;IT0002809;INC20373586;Czyszczenie;-;Wyczyszczenie g∏owicy, zmiana speed, darkness, zmiana offcetów 
2024-09-11 00:00:00.000;TCZP3170;IT0028325;INC20396709;Problem z czujnikiem;-;Zmiana pozycji czujnika etykietm, reset defaults, zmiana szykoÊci, darknessu, offcetów. Kalibracja 
2024-09-10 00:00:00.000;TCZP1250;IT0013873;INC20392757;Czyszczenie;n/d;Czyszczenie wa∏ka z mediów
2024-09-10 00:00:00.000;TCZP1187;IT0002264;INC20392757;Czyszczenie;n/d;Czyszczenie wa∏ka z mediów
2024-09-11 00:00:00.000;TCZP3170;IT0028325;INC20402057;Kalibracja;n/d;Ustawienie czujnika i zmiana ustawieƒ w osi poziomej.
2024-09-11 00:00:00.000;TCZP1218;IT0011935;INC20406271;Czyszczenie;n/d;Wyciàgni´cie naklejki, która przyklei∏a si´ do czujnika
2024-09-12 00:00:00.000;TCZP3182;IT0002252;INC20386116;Kalibracja;-;
2024-09-13 00:00:00.000;TCZP3170;IT0028325;INC20425866;Kalibracja;-;
2024-09-13 00:00:00.000;TCZP3170;IT0028325;INC20425866;Kalibracja;n/d;weryfikacja drukarki z Marcinem, wydruki testowe, odstawienie na miejsce, wydruki testowe, ponowna weryfikacja po kolejnym telefonie, restart drukarki, kalibracja, sprawdzenie czujników, sprawdzenie ustawieƒ webowo, ustawienie odpowiedniej wysokoÊci
2024-09-13 00:00:00.000;TCZP1150;IT0025867;INC20429595;Kalibracja;n/d;weryfikacja problemu, restart drukarki, wyzerowanie ustawieƒ, kalibracja wypozycjonowanie wydruku, próba poprawy rozmazanych barcodów, default drukarki, kalibracja, wypozycjonowanie
