Numer;Numer IT;Tczp;Model;Numer seryjny;Lokalizacja;Linie / projekt;Wydruki w loftware;Wydruki z BAAN;üˆczna liczba wydruk—w;Okres przeglˆdu;Limit wydruk—w;Total
00272;IT0002243;TCZP1165;zebra,110xi4,300dpi;14j141700394;b5;dystrybucja st. 4;34045;0;34045;P—¸roczny;100000;296668
00273;IT0002247;TCZP2047;zebra,110xi3300dpi;91C07360041;b2;dzielenie 5;0;0;0;P—¸roczny;100000;197723
00275;IT0002264;TCZP1187;110xi4  300 dpi;80J101100299;b2;dry box;0;0;0;P—¸roczny;100000;764144
00280;IT0002282;TCZP1087;zebra,110xi4300dpi;14J142500566;b2;kiting 3;4904;0;4904;P—¸roczny;100000;200028
00281;IT0002288;TCZP3198;110xi4;14J142500565;b2;miernik 2;16104;0;16104;P—¸roczny;100000;779550
00282;IT0002295;TCZP2052;zebra,110xi4300dpi;14J142500572;b2;kiting 3;0;0;0;P—¸roczny;100000;151129
00283;IT0002300;TCZP2012;zebra,110xi4300dpi;14J140200427;b2;dzielenie 3;0;0;0;P—¸roczny;100000;167449
00285;IT0002440;TCZP1132;zebra,110xi4,300dpi;14J133400093;b1;ikea,jupiter;725;0;725;P—¸roczny;100000;4023
00286;IT0002446;TCZP2062;110xi4 600dpi;14J140900074;b2;laminaty;36;0;36;P—¸roczny;100000;100314
00295;IT0002771;TCZP3186;zebra,110xi4,300dpi;80J101100302;b3;stanowisko 7;8549;0;8549;P—¸roczny;100000;240801
00296;IT0002779;TCZP1030;zebra,110xi3,300dpi;91C07360053;b3;stanowisko 5;0;0;0;P—¸roczny;100000;330878
00298;IT0002792;TCZP2014;zebra,110xi4,300dpi;14J140600324;b3;stanowisko 2;0;0;0;P—¸roczny;100000;188099
00300;IT0002809;TCZP2015;zebra,110xi4,300dpi;14J141601089;b3;stanowisko8;0;0;0;P—¸roczny;100000;155532
00301;IT0002820;TCZP4099;zebra,110xi4,300dpi;14J112800639;b3 bis;wh support;0;0;0;P—¸roczny;100000;139746
00302;IT0002824;TCZP1041;zebra,110xi4,300dpi;14j111300021;b3;stanowisko 3;34672;0;34672;P—¸roczny;100000;1757575
00303;IT0002864;TCZP0142;110xi4;14J111900461;b2;swmontaz1;0;0;0;P—¸roczny;100000;19514
00304;IT0003422;TCZP3168;zebra,110xi4300dpi;14J132900479;b2;kitting 2;0;0;0;P—¸roczny;100000;605970
00308;IT0003178;TCZP1143;zebra,110xi4300dpi;14J140200430;b2;kitting 2;384;0;384;P—¸roczny;100000;383904
00310;IT0001124;TCZP1186;datamaxp1115s;41965011;b2;biura it;1;0;1;P—¸roczny;100000;15659
00316;IT0003632;tczp1112;110xi4 600dpi;14J130300688;b2;dzielenie 4;5;0;5;P—¸roczny;100000;90644
00318;IT0003690;TCZP1163;zebrazm4plus;02C04410799;b1;narzedziownia,fa-0321;8543;0;8543;P—¸roczny;100000;21034
00320;IT0003694;TCZP3178;zm400 300dpi;08J113902126;b1;alcatel kits;72796;0;72796;P—¸roczny;100000;119323
00321;IT0003700;TCZP1058;zebra,110xi4600dpi;14J1242000054;b2;montaz2.3;450;0;450;P—¸roczny;100000;83345
00323;IT0003754;TCZP2075;zebra,110xi3,300dpi;2353220;b4;tl;0;0;0;P—¸roczny;100000;278532
00324;IT0003781;TCZP2008;zebra,110xi4,300dpi;14J13900828;b2;tl;0;0;0;P—¸roczny;100000;90302
00326;IT0003786;TCZP1235;zebra,110xi3plus600dpi;91C05490186;b2;pakowaniepam;4084;0;4084;P—¸roczny;100000;904215
00327;IT0003787;TCZP2046;110xi4;90J095C0293;b2;nadawanieskid;28;0;28;P—¸roczny;100000;53472
00331;IT0001074;TCZP1121;zebra,110xi4,300dpi;14J113900834;b3;stanowisko 4;8;0;8;P—¸roczny;100000;236697
00332;IT0001070;TCZP1089;zebra,110xi4,600dpi;14J123200793;b4;pcb reprogramming;5248;0;5248;P—¸roczny;100000;650340
00334;IT0002028;TCZP2077;zebra,110xi4300dpi;14J104300023;b2;e// oslo cyclecounting;0;0;0;P—¸roczny;100000;147939
00338;IT0005223;TCZP1023;zebraz4mplus,300dpi;02C07281327;b1;przy maszynie fa0255 a;567;0;567;P—¸roczny;100000;10453
00340;IT0007425;...;110xi4 600dpi;14J150201639;b4;rework;22713;0;22713;P—¸roczny;100000;1997632
00343;IT0007520;TCZP1174;zebra,110xi4300dpi;14j150500691;b2;stanowisko 1a;22116;0;22116;P—¸roczny;100000;807456
00345;IT0009187;TCZP2019;zebra,110xi4300dpi;14J150600843;b2;kitting 6;0;0;0;P—¸roczny;100000;145870
00346;IT0009192;TCZP1201;zebra,110xi4,300dpi;14J150601457;b4;drukowanie dokument—w;0;0;0;P—¸roczny;100000;1630
00347;IT0009191;TCZP1202;zebra,110xi4,300dpi;14J150900528;b4;drukowanie dokument—w;10;0;10;P—¸roczny;100000;2004
00348;IT0009190;TCZP1203;zebra,110xi4,300dpi;14J150900506;b4;stanowisko 01;66;0;66;P—¸roczny;100000;14640
00349;IT0009189;TCZP1204;zebra,110xi4,600dpi;14J152100329;b4;drukowanie dokument—w;178;0;178;P—¸roczny;100000;66411
00351;IT0009200;TCZP1011;110 xi4 300;14j150900510;b2;kitting stanowisko lcr 1;1554;0;1554;Kwartalny;100000;145582
00352;IT0009199;TCZP1207;zebra,110xi4,300dpi;14J150900531;b4;swmontaz1;61;0;61;P—¸roczny;100000;56324
00353;IT0009198;TCZP1208;zebra,110xi4,300dpi;14J150900499;b4;pick from stock 2;1315;0;1315;P—¸roczny;100000;235778
00356;IT0009214;TCZP1102;zebra,110xi4600dpi;14j152100335;b2;testy przy spitfire;290;0;290;P—¸roczny;100000;850048
00358;IT0009271;TCZP1196;zebra,110xi4,600dpi;14J151201235;b4;test chamber;0;0;0;P—¸roczny;100000;333478
00359;IT0009272;TCZP1213;zebra,110xi4300dpi;14J150900503;b2;full kitting 4;777;0;777;P—¸roczny;100000;312996
00364;IT0009355;TCZP1156;zebra,110xi4600dpi;14J140200431;b2;pakowanie bfz;56;0;56;P—¸roczny;100000;45458
00365;IT0002425;TCZP1226;zebra,110xi4600dpi;14J130400567;b2;montaz 1;199;0;199;P—¸roczny;100000;336883
00366;IT0002451;TCZP2010;zebra,110xi4300dpi;14J134100060;b2;dystrybutor;0;0;0;P—¸roczny;100000;85561
00367;IT0011935;TCZP1218;zebra,110xi4600dpi;14j114300092;b2;stanowisko 1b;9394;0;9394;P—¸roczny;100000;1932674
