Data Awarii;TCZP;ITNumber;TicketNumber;Rodzaj Naprawy;Non Bom Number;Info;Numer;Numer IT;Tczp;Model;Numer seryjny;Lokalizacja;Linie / projekt;Wydruki w loftware;Wydruki z BAAN;¸àczna liczba wydruków;Okres przeglàdu;Limit wydruków;Total
2024-10-02 00:00:00.000;TCZP2057;IT0021132;INC20742219;Problem sieciowy;n/d;problem dotyczy drukarek hellermann pod∏àczonych do switcha TCZTS-PROD-147;766.0;IT0021132;TCZP2057;hellermann,300dpi;H4194V200900040;b2;dzielenie 3;2132.0;0.0;2132.0;Pó∏roczny;100000.0;344418.0
2024-10-02 00:00:00.000;TCZP3160;IT0018550;INC20742197;Problem sieciowy;n/d;problem dotyczy drukarek hellermann podlaczonych do switcha TCZTS-prod-147;826.0;IT0018550;TCZP3160;cl-s631 300 dpi;JMGB018368;b2;kitting 4;30117.0;0.0;30117.0;Pó∏roczny;100000.0;276824.0
2024-09-29 00:00:00.000;TCZP3213;IT0023000;INC20639155;Problem sieciowy;n/d;;806.0;IT0023000;TCZP3213;hellermann,300dpi;H416AV200600045;b2;dzielenie 6;3026.0;0.0;3026.0;Pó∏roczny;100000.0;415392.0
2024-09-20 00:00:00.000;TCZP1244;IT0013894;INC20525895;Kalibracja;n/d;;468.0;IT0013894;TCZP1244;zebra,110xi4300dpi;14J161400253;b2;e// oslo pakowanie;22145.0;0.0;22145.0;Pó∏roczny;100000.0;117519.0
2024-09-09 00:00:00.000;...;IT0022957;INC20372282;Kalibracja;n/d;;;;;;;;;;;;;;
2024-09-09 00:00:00.000;TCZP2057;IT0021132;INC20372282;Kalibracja;n/d;;766.0;IT0021132;TCZP2057;hellermann,300dpi;H4194V200900040;b2;dzielenie 3;2132.0;0.0;2132.0;Pó∏roczny;100000.0;344418.0
2024-08-26 00:00:00.000;TCZP1057;IT0028006;INC20198788;Kalibracja;n/d;;912.0;IT0028006;TCZP1057;cl-s631;JMGB021679;b2;x ray;0.0;0.0;0.0;Pó∏roczny;100000.0;336.0
2024-08-21 00:00:00.000;TCZP1185;IT0027931;INC20142881;Kalibracja;n/d;;911.0;IT0027931;TCZP1185;ttbp6;H520500022;b3;sprue;5445.0;0.0;5445.0;Pó∏roczny;100000.0;420297.0
2024-10-17 00:00:00.000;TCZP3241;IT0038548;INC20845689;Problem sieciowy;;;1037.0;IT0038548;TCZP3241;ttbp3;H422500002;b1;small;540.0;0.0;540.0;Pó∏roczny;100000.0;2097.0
2024-10-17 00:00:00.000;TCZP4079;IT0038154;INC20892881;Problem z czujnikiem;;;1019.0;IT0038154;TCZP4079;cl-s631ii 300 dpi;JM632410017;b2;engineering modu∏y;63.0;0.0;63.0;Pó∏roczny;100000.0;11375.0
2024-10-17 00:00:00.000;TCZP4081;IT0038152;INC20892881;Problem z czujnikiem;;;1017.0;IT0038152;TCZP4081;cl-s631ii 300 dpi;JM632410024;b2;engineering modu∏y;182.0;0.0;182.0;Pó∏roczny;100000.0;327.0
2024-10-18 00:00:00.000;TCZP1218;IT0011935;INC20932307;Kalibracja;;;367.0;IT0011935;TCZP1218;zebra,110xi4600dpi;14j114300092;b2;stanowisko 1b;9394.0;0.0;9394.0;Pó∏roczny;100000.0;1932674.0
2024-10-18 00:00:00.000;TCZP1250;IT0013873;INC20932392;Kalibracja;;;460.0;IT0013873;TCZP1250;zebra,110xi4300dpi;14J160600078;b2;stanowisko 1a;9489.0;0.0;9489.0;Pó∏roczny;100000.0;179995.0
2024-10-18 00:00:00.000;TCZP3248;IT0024354;INC20968424;Kalibracja;n/d;;728.0;IT0024354;TCZP3248;hellermann,600dpi;H5196V200900009;b4;inspekcja wizualna;247.0;0.0;247.0;Pó∏roczny;100000.0;45550.0
2024-10-19 00:00:00.000;TCZP3159;IT0024352;TPM;Czyszczenie;;;849.0;IT0024352;TCZP3159;bp1300i;H420C00075;b2;dzielenie 4;0.0;0.0;0.0;Pó∏roczny;100000.0;9027.0
2024-10-19 00:00:00.000;TCZP1028;IT0004133;INC20980997;Kalibracja;-;;68.0;IT0004133;TCZP1028;110xi4 300 dpi;14J110200110;b2;pakowanie;15350.0;0.0;15350.0;Pó∏roczny;100000.0;1652631.0
2024-10-21 00:00:00.000;TCZP1057;IT0028006;INC20998487;Kalibracja;n/d;Kalibracja rozwiàza∏a problem z drukowaniem;912.0;IT0028006;TCZP1057;cl-s631;JMGB021679;b2;x ray;0.0;0.0;0.0;Pó∏roczny;100000.0;336.0
2024-10-21 00:00:00.000;TCZP1213;IT0009272;INC20998452;Kalibracja;n/d;Kalibracja rozwiàza∏a problem;359.0;IT0009272;TCZP1213;zebra,110xi4300dpi;14J150900503;b2;full kitting 4;777.0;0.0;777.0;Pó∏roczny;100000.0;312996.0
2024-10-21 00:00:00.000;TCZP4095;IT0038585;TASK5791630;Kalibracja;n/d;kalobracja, reset do defaulta, wypozycjonowanie;1029.0;IT0038585;TCZP4095;ttbp3;H422500005;b1;tyee;625.0;0.0;625.0;Pó∏roczny;100000.0;708.0
2024-10-22 00:00:00.000;TCZP3153;IT0025047;INC21009631;.Nie jestem w stanie wybraç odpowiedniej kategorii;n/d;kalibracja i usuni´cie nawini´tych naklejek z wa∏ka;860.0;IT0025047;TCZP3153;hellermann300dpi;H420C00077;b1;stanowisko ims kolo pem;35908.0;0.0;35908.0;Pó∏roczny;100000.0;192675.0
2024-10-22 00:00:00.000;TCZP1189;IT0018872;INC20969548;Problem sieciowy;n/d;;560.0;IT0018872;TCZP1189;hellermann,600dpi;H5178V200700013;b3;sqa;90.0;0.0;90.0;Pó∏roczny;100000.0;1092477.0
2024-10-22 00:00:00.000;TCZP1144;IT0036599;INC21015716;Kalibracja;n/d;By∏o za du˝o kalki chyba i nie równo roz∏o˝one dociski.;946.0;IT0036599;TCZP1144;zebra110xiiiiplus;91c08420054;b1;centrumpakowania;520.0;0.0;520.0;Pó∏roczny;100000.0;14288.0
2024-10-22 00:00:00.000;TCZP1218;IT0011935;INC21014749;Kalibracja;n/d;Skalibrowano media and ribbon;367.0;IT0011935;TCZP1218;zebra,110xi4600dpi;14j114300092;b2;stanowisko 1b;9394.0;0.0;9394.0;Pó∏roczny;100000.0;1932674.0
2024-10-21 00:00:00.000;TCZP3203;IT0024174;TASK5791850;Kalibracja;n/d;weryfikacja, zmiana darkness i speed, kalibracja, reset do defaulta, ponowna kalibracja i wypozycjonowanie nadruku;820.0;IT0024174;TCZP3203;hellermann600dpi;H5196V200900011;b2;taygeta;373.0;0.0;373.0;Pó∏roczny;100000.0;2983.0
2024-10-24 00:00:00.000;TCZP1025;IT0036572;INC21038968;Kalibracja;n/d;weryfikacja problemu, wydruki testowe, poprawne na∏o˝enie taÊmy z naklejkami, ponowne wydruki, zdj´cie nadmiaru zuzytej kalki, wydruki testowe, odkr´cenie wygi´tej blaszki przy g∏owicy, wydruki testowe;977.0;IT0036572;TCZP1025;zebra,110xi4300dpi;14J142500573;b2;pakowanie;6500.0;0.0;6500.0;Pó∏roczny;100000.0;39246.0
2024-10-16 00:00:00.000;TCZP2056;IT0013791;INC20920988;Wymiana glowicy;176634 ;Drukarka sie zagrzala, byla goraca i smierdziala plastikiem. Prawdopodobnie spowodowane umyciem glowicy plynem esd przez operatra. Pozniej nie wykrywalo zianstalowanej glowicy.;;;;;;;;;;;;;
2024-10-24 00:00:00.000;TCZP1023;IT0005223;INC21022031;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Reset defaults ustawieƒ, restart drukarki;338.0;IT0005223;TCZP1023;zebraz4mplus,300dpi;02C07281327;b1;przy maszynie fa0255 a;567.0;0.0;567.0;Pó∏roczny;100000.0;10453.0
2024-10-24 00:00:00.000;TCZP3210;IT0038545;INC21028216;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Reset defaults ustawien, restart;1035.0;IT0038545;TCZP3210;ttbp3;H422500007;b1;small;430.0;0.0;430.0;Pó∏roczny;100000.0;1718.0
2024-10-24 00:00:00.000;TCZP1126;IT0038543;INC21028216;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;reset defaults ustawien, restart;1033.0;IT0038543;TCZP1126;ttbp3;H422500011;b1;small;430.0;0.0;430.0;Pó∏roczny;100000.0;1888.0
2024-10-24 00:00:00.000;TCZQ0082;IT0037738;INC21042293;.Nie jestem w stanie wybraç odpowiedniej kategorii;-;Problem z sesja w IB;1008.0;IT0037738;TCZQ0082;zq630;XXZVJ234202484;b3;magazyn mech;12238.0;0.0;12238.0;Pó∏roczny;100000.0;61325.0
